date,N-tourists,Sentiment,ILI%,Baidu,N-influenza,RH,N-tourist
2021/6/28,5.048744694,-0.00237678,0.521138084,4.534749328,2.23299611,1.935938899,5.048744694
2021/7/5,5.145401536,-0.012708827,0.50242712,4.541441945,2.269512944,1.906950408,5.145401536
2021/7/12,5.244306815,-0.073398339,0.494154594,4.59645414,2.365487985,1.896053559,5.244306815
2021/7/19,5.274848014,-0.175979855,0.485721426,4.689708333,2.281033367,1.94094317,5.274848014
2021/7/26,5.239309492,-0.308229304,0.46834733,4.620562849,2.411619706,1.922799576,5.239309492
2021/8/2,4.621560535,-0.428398551,0.45331834,4.879898324,2.298853076,1.938805539,4.621560535
2021/8/9,4.789411474,-0.464106466,0.428134794,4.649617156,2.294466226,1.946592609,4.789411474
2021/8/16,5.017813533,-0.416352933,0.394451681,4.605929636,2.311753861,1.912297989,5.017813533
2021/8/23,5.05969592,-0.333529948,0.350248018,4.604323272,2.404833717,1.913056582,5.05969592
2021/8/30,5.097437794,-0.254605816,0.354108439,4.588954833,2.480006943,1.917580524,5.097437794
2021/9/6,5.221403804,-0.197878973,0.411619706,4.610628228,2.617000341,1.892889286,5.221403804
2021/9/13,5.276333105,-0.161324147,0.46834733,4.624715143,2.652246341,1.910014226,5.276333105
2021/9/20,5.108818626,-0.138208961,0.499687083,4.924134497,2.587710965,1.912297989,5.108818626
2021/9/27,3.966986025,-0.124201595,0.474216264,4.975183569,2.612783857,1.897627091,3.966986025
2021/10/4,3.648164779,-0.116158516,0.465382851,4.872785398,2.579783597,1.916829798,3.648164779
2021/10/11,3.732795698,-0.112470131,0.383815366,4.753521778,2.605305046,1.912297989,3.732795698
2021/10/18,5.063746062,-0.112943408,0.434568904,4.660011221,2.665580991,1.906181064,5.063746062
2021/10/25,5.231433907,-0.117580402,0.496929648,4.633862172,2.796574333,1.897627091,5.231433907
2021/11/1,5.213055326,-0.126504892,0.496929648,4.635252464,2.836324116,1.922799576,5.213055326
2021/11/8,5.201044629,-0.139843413,0.494154594,4.613683291,2.912222057,1.716003344,5.201044629
2021/11/15,5.248201395,-0.157314102,0.499687083,4.559439777,3.046104787,1.874233247,5.248201395
2021/11/22,5.277762737,-0.178543737,0.499687083,4.589312765,3.062581984,1.805209483,5.277762737
2021/11/29,5.218328024,-0.203147029,0.541579244,4.614454263,3.180985581,1.687656339,5.218328024
2021/12/6,5.205131253,-0.230599749,0.563481085,4.602222821,3.312600439,1.839747322,5.205131253
2021/12/13,5.230252167,-0.259420248,0.572871602,4.652410742,3.368472838,1.841538229,5.230252167
2021/12/20,5.241720761,-0.28718628,0.597695186,4.702068473,3.379849179,1.922799576,5.241720761
2021/12/27,5.294223659,-0.310816372,0.606381365,4.674052398,3.450249108,1.888099225,5.294223659
2022/1/3,5.29078229,-0.326669953,0.621176282,4.618821812,3.499549626,1.901536159,5.29078229
2022/1/10,5.22570462,-0.330969504,0.582063363,4.640173247,3.506369717,1.88406675,5.22570462
2022/1/17,5.037103645,-0.320574444,0.523746467,4.574482699,3.469085299,1.912297989,5.037103645
2022/1/24,5.03686833,-0.293863377,0.444044796,4.587666074,3.415974411,1.938805539,5.03686833
2022/1/31,5.025248502,-0.251249319,0.572871602,4.564121376,3.037426498,1.911538068,5.025248502
2022/2/7,5.177357551,-0.240181123,0.376576957,4.657419207,3.301247089,1.93014822,5.177357551
2022/2/14,5.210500441,-0.465846926,0.365487985,4.732361589,3.315130317,1.948692345,5.210500441
2022/2/21,5.252595775,-0.345611659,0.418301291,4.730604647,3.324488233,1.919824945,5.252595775
2022/2/28,5.003693128,-0.463698281,0.515873844,4.695210158,3.35945602,1.917580524,5.003693128
2022/3/7,5.094879725,-0.528760927,0.531478917,4.709634547,3.314288661,1.851258349,5.094879725
2022/3/14,5.018908444,-0.640734686,0.549003262,4.795984236,3.162564407,1.94799356,5.018908444
2022/3/21,4.989832327,-0.800120252,0.491361694,4.76855671,3.011993115,1.979027794,4.989832327
2022/3/28,5.048612691,-0.92233613,0.471291711,4.668581585,2.895974732,1.917580524,5.048612691
2022/4/4,5.028599717,-0.746244872,0.491361694,4.637319581,2.568201724,1.851258349,5.028599717
